instance_id,sample_index,turns,actual_prefill_tokens,ideal_incremental_tokens,ideal_page64_prefill_tokens,page64_boundary_recompute_tokens,excess_over_ideal_page64_tokens,decode_tokens,cumulative_full_prompt_tokens
astropy__astropy-12907,0,25,17128,16433,17128,695,0,9364,220328
astropy__astropy-13033,1,64,36269,34372,36269,1897,0,26583,1134893
astropy__astropy-13236,2,64,31135,29368,31135,1767,0,8961,930847
astropy__astropy-13398,3,64,45398,43420,45398,1978,0,19225,1589974
astropy__astropy-13453,4,64,34818,32885,34818,1933,0,10996,1089794
astropy__astropy-13579,5,4,4948,4838,4948,110,0,8447,10516
astropy__astropy-13977,6,64,25978,24147,25978,1831,0,25884,902970
astropy__astropy-14096,7,38,13185,12090,13185,1095,0,28476,258497
astropy__astropy-14182,8,64,28444,26687,28444,1757,0,25770,831260
astropy__astropy-14309,9,7,4932,4722,4932,210,0,1295,20100
astropy__astropy-14365,10,43,19438,18114,19438,1324,0,7834,425454
astropy__astropy-14369,11,14,13531,13009,13531,522,0,23146,109723
astropy__astropy-14508,12,56,54730,53005,54730,1725,0,15176,1138506
astropy__astropy-14539,13,64,38734,36900,38734,1834,0,24996,943822
astropy__astropy-14598,14,21,9791,9191,9791,600,0,20652,125311
astropy__astropy-14995,15,40,23290,22065,23290,1225,0,15612,531770
astropy__astropy-7166,16,64,24578,22751,24578,1827,0,23399,638274
astropy__astropy-7336,17,10,9661,9285,9661,376,0,994,39677
astropy__astropy-7606,18,32,10242,9479,10242,763,0,3381,157570
astropy__astropy-7671,19,18,13771,13275,13771,496,0,7335,161483
astropy__astropy-8707,20,31,13828,12845,13828,983,0,5487,203460
astropy__astropy-8872,21,6,4472,4350,4472,122,0,9243,14456
django__django-10097,22,31,27669,26686,27669,983,0,34148,439253
django__django-10554,23,32,14388,13329,14388,1059,0,15559,195700
django__django-10880,24,64,31452,29510,31452,1942,0,12290,1041820
django__django-10914,25,31,16091,14890,16091,1201,0,4332,235099
django__django-10973,26,21,18491,17783,18491,708,0,3529,138875
django__django-10999,27,29,12828,11773,12828,1055,0,5930,194652
django__django-11066,28,36,20048,18972,20048,1076,0,2635,352656
django__django-11087,29,3,5684,5577,5684,107,0,8639,11380
django__django-11095,30,16,7273,6724,7273,549,0,2420,64361
django__django-11099,31,14,4240,3827,4240,413,0,2132,23376
django__django-11119,32,53,28323,26410,28323,1913,0,12423,736291
django__django-11133,33,60,24688,23009,24688,1679,0,7377,808688
django__django-11138,34,64,25626,23914,25626,1712,0,28656,1094938
django__django-11141,35,50,15165,13538,15165,1627,0,9080,357885
django__django-11149,36,64,38471,36378,38471,2093,0,24227,1236039
django__django-11163,37,8,4533,4317,4533,216,0,1136,21557
django__django-11179,38,33,18953,17885,18953,1068,0,6218,301513
django__django-11206,39,4,3658,3599,3658,59,0,8462,7114
django__django-11211,40,29,19753,18721,19753,1032,0,15008,275369
django__django-11239,41,24,15009,14227,15009,782,0,2582,154721
django__django-11265,42,52,37179,35498,37179,1681,0,7311,1227003
django__django-11276,43,64,25338,23308,25338,2030,0,14512,951162
django__django-11292,44,25,9524,8778,9524,746,0,3501,137908
django__django-11299,45,28,16592,15724,16592,868,0,9574,276816
django__django-11333,46,15,6825,6467,6825,358,0,21847,60137
django__django-11400,47,39,15198,13858,15198,1340,0,6643,299678
