instance_id,sample_index,turns,actual_prefill_tokens,ideal_incremental_tokens,ideal_page64_prefill_tokens,page64_boundary_recompute_tokens,excess_over_ideal_page64_tokens,decode_tokens,cumulative_full_prompt_tokens
astropy__astropy-12907,0,3,3771,3238,3323,85,448,8594,4347
astropy__astropy-13033,1,15,10370,7274,7618,344,2752,4701,68034
astropy__astropy-13236,2,64,41029,36923,38917,1994,2112,9447,1297541
astropy__astropy-13398,3,30,42005,28658,29461,803,12544,20027,470229
astropy__astropy-13453,4,64,26337,24265,26337,2072,0,11881,991649
astropy__astropy-13579,5,19,25776,18778,19376,598,6400,18993,214832
astropy__astropy-13977,6,64,24182,18954,20918,1964,3264,10221,789430
astropy__astropy-14096,7,35,11330,10314,11330,1016,0,23774,183490
astropy__astropy-14182,8,64,58169,29520,31289,1769,26880,33904,920633
astropy__astropy-14309,9,10,14892,9303,9708,405,5184,2161,49644
astropy__astropy-14365,10,15,10499,9510,9923,413,576,1677,86851
astropy__astropy-14369,11,9,9183,8979,9183,204,0,11176,41119
astropy__astropy-14508,12,56,80986,47063,48794,1731,32192,15689,1186458
astropy__astropy-14539,13,64,26342,23432,25254,1822,1088,19198,870502
astropy__astropy-14598,14,17,10981,9637,10149,512,832,19210,96037
astropy__astropy-14995,15,31,24104,14743,15720,977,8384,10091,272424
astropy__astropy-7166,16,64,24945,23019,24945,1926,0,32023,671153
astropy__astropy-7336,17,9,8250,7939,8250,311,0,767,29114
astropy__astropy-7606,18,33,11550,8034,8990,956,2560,2962,128414
astropy__astropy-7671,19,33,32422,19008,19942,934,12480,11828,389606
astropy__astropy-8707,20,29,12422,9921,10694,773,1728,3829,169094
astropy__astropy-8872,21,28,10556,6614,7548,934,3008,21446,130620
django__django-10097,22,11,9097,7970,8393,423,704,13337,55369
django__django-10554,23,58,31574,29004,30614,1610,960,14375,837590
django__django-10880,24,64,41278,30910,32830,1920,8448,13565,1063102
django__django-10914,25,26,9464,8364,9272,908,192,1856,98296
django__django-10973,26,13,4051,3683,4051,368,0,3276,17811
django__django-10999,27,7,4971,2555,2795,240,2176,1954,12203
django__django-11066,28,24,15679,14851,15679,828,0,2051,175807
django__django-11087,29,7,7099,6923,7099,176,0,10108,36347
django__django-11095,30,13,5728,5139,5472,333,256,1676,43360
django__django-11099,31,3,839,623,647,24,192,358,1351
django__django-11119,32,46,68154,25503,27002,1499,41152,12441,596282
django__django-11133,33,35,12077,10764,11821,1057,256,2584,239021
django__django-11138,34,64,31572,28630,30484,1854,1088,22988,1251668
django__django-11141,35,64,29654,24576,26454,1878,3200,18108,914454
django__django-11149,36,46,47385,24979,26329,1350,21056,23478,603545
django__django-11163,37,42,33543,26333,27591,1258,5952,5153,675079
django__django-11179,38,43,21890,19327,20418,1091,1472,7998,489666
django__django-11206,39,8,11394,5840,6018,178,5376,4846,25282
django__django-11211,40,64,124549,43436,45253,1817,79296,21234,1688837
django__django-11239,41,36,28169,23680,24649,969,3520,4761,387849
django__django-11265,42,64,65887,30408,32479,2071,33408,15495,1191967
django__django-11276,43,64,30973,25122,26877,1755,4096,7660,958973
django__django-11292,44,50,40733,27261,28829,1568,11904,5637,738269
django__django-11299,45,48,54844,22989,24572,1583,30272,16804,679228
django__django-11333,46,6,9426,4842,4946,104,4480,12774,16722
django__django-11400,47,64,53757,34417,36349,1932,17408,15332,1066109
django__django-11433,48,47,23952,20441,21968,1527,1984,15349,516624
django__django-11451,49,22,16730,13681,14362,681,2368,2614,138330
django__django-11477,50,64,49341,40432,42493,2061,6848,13161,1273213
django__django-11490,51,52,48687,24162,25775,1613,22912,26507,685807
django__django-11532,52,64,19294,15969,17886,1917,1408,8038,573150
django__django-11551,53,30,25880,19570,20504,934,5376,19374,325080
django__django-11555,54,64,37425,35375,37425,2050,0,24386,1002801
django__django-11603,55,41,21579,20088,21195,1107,384,8348,367627
django__django-11728,56,64,27403,24218,26187,1969,1216,41994,759371
django__django-11734,57,48,32110,22421,24046,1625,8064,13004,541998
django__django-11740,58,45,32150,29570,31126,1556,1024,8949,649366
django__django-11749,59,64,46317,29720,32045,2325,14272,12241,964781
django__django-11790,60,64,57555,26603,28563,1960,28992,18877,922067
django__django-11815,61,50,55473,30630,32049,1419,23424,11253,814129
django__django-11820,62,43,22710,21575,22838,1263,-128,8144,443190
django__django-11848,63,33,15886,14985,16014,1029,-128,13686,232142
django__django-11880,64,64,27758,19285,21294,2009,6464,14194,478190
django__django-11885,65,64,26578,24191,26130,1939,448,11944,907026
django__django-11951,66,41,29539,22983,24419,1436,5120,5709,483683
django__django-11964,67,64,50063,24269,26255,1986,23808,13795,1041359
django__django-11999,68,64,36743,23012,25287,2275,11456,11292,730311
django__django-12039,69,64,62061,49770,51693,1923,10368,25023,1749805
django__django-12050,70,64,26756,23533,25604,2071,1152,10831,660164
django__django-12125,71,64,51808,33452,35360,1908,16448,24473,1356576
django__django-12143,72,42,21478,16908,18342,1434,3136,4360,428006
django__django-12155,73,41,19949,17211,18541,1330,1408,29715,402861
django__django-12193,74,30,13451,12179,13067,888,384,9126,213387
django__django-12209,75,28,15501,10144,10957,813,4544,14319,168269
django__django-12262,76,64,56503,30644,32631,1987,23872,25602,1123639
django__django-12273,77,32,18663,16397,17319,922,1344,18210,299047
django__django-12276,78,33,16612,12407,13412,1005,3200,21223,235236
django__django-12304,79,64,78886,38162,40166,2004,38720,20532,1238182
django__django-12308,80,64,21431,17948,20087,2139,1344,8703,770807
django__django-12325,81,64,40929,35705,37153,1448,3776,5975,1032865
django__django-12406,82,64,52466,34606,36594,1988,15872,27660,1184242
django__django-12419,83,27,8577,7593,8449,856,128,2127,97409
django__django-12663,84,10,12075,6353,6635,282,5440,1847,32939
django__django-12708,85,64,54733,26698,28493,1795,26240,21403,791757
django__django-12713,86,64,35361,25786,27681,1895,7680,15881,796065
