instance_id,sample_index,turns,actual_prefill_tokens,ideal_incremental_tokens,ideal_page64_prefill_tokens,page64_boundary_recompute_tokens,excess_over_ideal_page64_tokens,decode_tokens,cumulative_full_prompt_tokens
astropy__astropy-12907,0,27,20770,19964,20770,806,0,9810,260898
astropy__astropy-13033,1,58,54269,33115,34621,1506,19648,16431,1016893
astropy__astropy-13236,2,64,120462,21244,23182,1938,97280,8147,714638
astropy__astropy-13398,3,64,98958,39815,41806,1991,57152,17475,1551950
astropy__astropy-13453,4,61,133290,26563,28586,2023,104704,11357,915114
astropy__astropy-13579,5,4,4948,4838,4948,110,0,8447,10516
astropy__astropy-13977,6,35,40304,13477,14448,971,25856,11670,266736
astropy__astropy-14096,7,18,7331,6831,7331,500,0,15957,70115
astropy__astropy-14182,8,64,68111,26861,28815,1954,39296,23621,827791
astropy__astropy-14309,9,7,4932,4722,4932,210,0,1294,20100
astropy__astropy-14365,10,30,19715,12928,13891,963,5824,3526,241027
astropy__astropy-14369,11,30,40372,16584,17396,812,22976,17653,320244
astropy__astropy-14508,12,64,67790,34708,36750,2042,31040,18631,934734
astropy__astropy-14539,13,35,22763,13760,14891,1131,7872,10785,290283
astropy__astropy-14598,14,13,13879,7179,7607,428,6272,11633,67639
astropy__astropy-14995,15,59,166196,39072,40884,1812,125312,22750,1145844
astropy__astropy-7166,16,58,46810,21493,23258,1765,23552,15083,524698
astropy__astropy-7336,17,16,11843,11348,11843,495,0,1537,104771
astropy__astropy-7606,18,22,11331,7102,7619,517,3712,2142,74947
astropy__astropy-7671,19,23,24578,16636,17282,646,7296,9201,252546
astropy__astropy-8707,20,41,33684,14064,15252,1188,18432,7834,314068
astropy__astropy-8872,21,6,4472,4350,4472,122,0,9243,14456
django__django-10097,22,11,17859,9090,9411,321,8448,13296,68035
django__django-10554,23,44,73909,17950,19317,1367,54592,18721,393077
django__django-10880,24,64,91226,20387,22490,2103,68736,10763,651994
django__django-10914,25,25,26443,12146,12939,793,13504,3651,121803
django__django-10973,26,36,33510,27690,28710,1020,4800,8715,483174
django__django-10999,27,32,27153,12856,13969,1113,13184,9233,233489
django__django-11066,28,45,39313,26129,27537,1408,11776,5205,565585
django__django-11087,29,11,9269,8978,9269,291,0,3571,66357
django__django-11095,30,46,27483,20828,22107,1279,5376,5731,501083
django__django-11099,31,14,4240,3827,4240,413,0,2132,23376
django__django-11119,32,49,87127,30323,31703,1380,55424,25035,701719
django__django-11133,33,40,42277,18924,20197,1273,22080,3838,356069
django__django-11138,34,64,120232,35718,37736,2018,82496,29203,1356136
django__django-11141,35,26,8906,5786,6602,816,2304,2992,78858
django__django-11149,36,33,20369,19338,20369,1031,0,18405,319249
django__django-11163,37,8,4533,4317,4533,216,0,1136,21557
django__django-11179,38,36,26305,20469,21697,1228,4608,7383,362369
django__django-11206,39,4,3658,3599,3658,59,0,8393,7114
django__django-11211,40,64,83808,42194,44256,2062,39552,24064,1602016
django__django-11239,41,32,44312,18143,18968,825,25344,5188,275160
django__django-11265,42,48,35569,33885,35569,1684,0,17558,1092593
django__django-11276,43,64,105437,22582,24605,2023,80832,12242,921309
django__django-11292,44,25,17908,8778,9524,746,8384,3715,137908
django__django-11299,45,47,47547,28319,29883,1564,17664,19444,751419
django__django-11333,46,15,6825,6467,6825,358,0,21847,60137
django__django-11400,47,64,54845,20790,22653,1863,32192,10750,731709
django__django-11433,48,24,18424,11588,12536,948,5888,12838,145528
django__django-11451,49,64,135033,41125,43257,2132,91776,25335,1120889
django__django-11477,50,55,40393,31532,33289,1757,7104,8457,1064073
django__django-11490,51,56,93367,30958,32759,1801,60608,28655,846391
django__django-11532,52,64,80699,23164,25019,1855,55680,8695,876347
django__django-11551,53,64,68845,35304,37101,1797,31744,16613,1347757
django__django-11555,54,33,23443,19904,20883,979,2560,12001,349139
django__django-11603,55,64,40539,19916,21979,2063,18560,4507,789531
django__django-11728,56,8,3495,3215,3495,280,0,20302,16679
django__django-11734,57,64,82583,47302,49175,1873,33408,14210,1506007
django__django-11740,58,64,211121,54838,56625,1787,154496,15014,2189105
django__django-11749,59,64,98068,28286,30164,1878,67904,15735,972436
django__django-11790,60,45,53458,19310,20626,1316,32832,11170,492946
django__django-11815,61,54,86996,27644,29268,1624,57728,11823,832148
django__django-11820,62,21,8605,8051,8605,554,0,12701,95197
django__django-11848,63,31,52446,21411,22366,955,30080,14775,369246
django__django-11880,64,42,95143,19898,21159,1261,73984,5543,463719
django__django-11885,65,64,77666,31543,33762,2219,43904,29556,1039714
django__django-11951,66,50,80953,19038,20729,1691,60224,6387,485433
django__django-11964,67,64,67504,34043,36208,2165,31296,14746,1031792
django__django-11999,68,64,69736,19902,21736,1834,48000,6219,657128
django__django-12039,69,59,60057,31356,33049,1693,27008,19454,851289
django__django-12050,70,50,36499,14141,15763,1622,20736,6924,341331
django__django-12125,71,34,20156,19107,20156,1049,0,14255,443900
django__django-12143,72,41,14206,13118,14206,1088,0,6478,276798
django__django-12155,73,4,3182,3041,3182,141,0,6142,6510
django__django-12193,74,64,104617,38410,40489,2079,64128,21017,993577
django__django-12209,75,30,15165,11786,12669,883,2496,19014,209853
django__django-12262,76,64,120439,37371,39479,2108,80960,35018,1269047
django__django-12273,77,50,68821,23291,25045,1754,43776,37617,703061
django__django-12276,78,23,9247,8617,9247,630,0,16357,106207
django__django-12304,79,64,108724,39518,41460,1942,67264,44074,1240820
django__django-12308,80,38,52054,15086,16086,1000,35968,3816,378006
django__django-12325,81,25,16838,5170,5830,660,11008,2598,79110
django__django-12406,82,64,69385,41690,43657,1967,25728,10406,1440905
django__django-12419,83,33,14842,13740,14842,1102,0,2769,199290
django__django-12663,84,64,72475,28492,30555,2063,41920,20419,1089883
django__django-12708,85,64,125510,27272,29382,2110,96128,24712,915462
django__django-12713,86,64,119909,28552,30501,1949,89408,15216,903013
django__django-12741,87,64,64423,21571,23591,2020,40832,5846,698791
django__django-12754,88,64,143807,35118,37183,2065,106624,14928,1136319
django__django-12774,89,35,38010,16813,17850,1037,20160,4271,320506
django__django-12858,90,64,65745,19586,21713,2127,44032,18561,684881
django__django-12965,91,64,64790,24854,26774,1920,38016,6774,959638
django__django-13012,92,33,14154,13197,14154,957,0,12151,232970
django__django-13023,93,64,58189,27502,29389,1887,28800,7728,1055437
django__django-13028,94,38,66030,13070,14254,1184,51776,8430,287534
django__django-13033,95,39,22161,13751,14929,1178,7232,35175,322065
django__django-13089,96,49,57107,20006,21395,1389,35712,5923,456979
django__django-13109,97,53,99697,25777,27313,1536,72384,5078,792433
django__django-13112,98,64,111472,36978,38832,1854,72640,37015,1313648
django__django-13121,99,64,100020,21514,23540,2026,76480,18179,702132
django__django-13128,100,51,94670,25010,26510,1500,68160,15818,660174
django__django-13158,101,57,82480,31011,32688,1677,49792,28555,1006896
django__django-13195,102,32,43116,13730,14572,842,28544,8160,234668
django__django-13212,103,64,92674,36563,38786,2223,53888,24550,973762
django__django-13279,104,7,7261,7049,7261,212,0,8861,18269
django__django-13297,105,30,38256,14431,15408,977,22848,17376,262640
django__django-13315,106,64,137268,54446,56692,2246,80576,16367,1872500
django__django-13343,107,64,238083,45591,47555,1964,190528,21481,1555779
django__django-13344,108,10,10586,10344,10586,242,0,8868,39322
django__django-13346,109,64,181455,28064,29967,1903,151488,23356,1093903
django__django-13363,110,26,20992,10605,11328,723,9664,2048,174528
django__django-13401,111,63,46432,29923,31904,1981,14528,12913,875360
django__django-13406,112,13,9926,9513,9926,413,0,10289,85254
django__django-13410,113,25,10232,9398,10232,834,0,5875,135416
django__django-13417,114,44,121161,22950,24265,1315,96896,12890,595209
django__django-13449,115,64,177223,37405,39559,2154,137664,18286,1451207
django__django-13512,116,64,184140,34845,36684,1839,147456,6149,1235788
django__django-13513,117,39,28337,9592,10609,1017,17728,6190,202033
django__django-13516,118,64,91483,15951,17691,1740,73792,13137,665755
django__django-13551,119,27,47710,17370,18078,708,29632,2833,264350
django__django-13568,120,64,26658,24652,26658,2006,0,9332,839522
django__django-13569,121,64,139298,41196,43106,1910,96192,23676,1234274
django__django-13590,122,64,44285,18520,20285,1765,24000,14342,490813
django__django-13658,123,64,37050,22490,24762,2272,12288,6495,940154
django__django-13670,124,39,60163,25119,26307,1188,33856,7170,602435
django__django-13741,125,53,69483,26814,28459,1645,41024,11305,641899
django__django-13786,126,64,52768,15852,17760,1908,35008,12710,544288
django__django-13794,127,60,78717,24407,26237,1830,52480,23952,738173
django__django-13807,128,64,103743,30163,31871,1708,71872,9601,850367
django__django-13809,129,51,48275,18943,19987,1044,28288,6154,556371
django__django-13810,130,54,119092,33963,35700,1737,83392,26061,932276
django__django-13820,131,19,24625,20256,20913,657,3712,11022,136433
django__django-13821,132,47,69511,17285,18631,1346,50880,6738,488263
