instance_id,sample_index,turns,actual_prefill_tokens,ideal_incremental_tokens,ideal_page64_prefill_tokens,page64_boundary_recompute_tokens,excess_over_ideal_page64_tokens,decode_tokens,cumulative_full_prompt_tokens
astropy__astropy-12907,0,3,3323,3238,3323,85,0,8522,4347
astropy__astropy-13033,1,64,35227,33502,35227,1725,0,17799,1073947
astropy__astropy-13236,2,64,24711,23070,24711,1641,0,8667,756551
astropy__astropy-13398,3,62,56287,54408,56287,1879,0,20836,1645151
astropy__astropy-13453,4,64,33435,31391,33435,2044,0,11329,1087131
astropy__astropy-13579,5,4,4948,4838,4948,110,0,8447,10516
astropy__astropy-13977,6,18,7305,6820,7305,485,0,3557,71241
astropy__astropy-14096,7,20,7346,6815,7346,531,0,7902,83570
astropy__astropy-14182,8,64,28444,26687,28444,1757,0,25770,831260
astropy__astropy-14309,9,7,4932,4722,4932,210,0,1295,20100
astropy__astropy-14365,10,40,18005,16815,18005,1190,0,7267,373205
astropy__astropy-14369,11,14,13531,13009,13531,522,0,23146,109723
astropy__astropy-14508,12,51,40574,39158,40574,1416,0,15458,895870
astropy__astropy-14539,13,40,15416,14124,15416,1292,0,12506,358520
astropy__astropy-14598,14,21,9791,9191,9791,600,0,20652,125311
astropy__astropy-14995,15,40,23290,22065,23290,1225,0,15612,531770
astropy__astropy-7166,16,64,18591,16582,18591,2009,0,12270,507679
astropy__astropy-7336,17,15,11313,10757,11313,556,0,1677,90737
astropy__astropy-7606,18,23,7906,7255,7906,651,0,2447,81634
astropy__astropy-7671,19,32,25178,24254,25178,924,0,20829,485530
astropy__astropy-8707,20,31,13828,12845,13828,983,0,5487,203460
astropy__astropy-8872,21,6,4472,4350,4472,122,0,9243,14456
django__django-10097,22,31,27669,26686,27669,983,0,34148,439253
django__django-10554,23,32,14388,13329,14388,1059,0,15559,195700
django__django-10880,24,64,27848,26029,27848,1819,0,14600,797896
django__django-10914,25,37,16096,15036,16096,1060,0,3431,302688
django__django-10973,26,23,14633,13794,14633,839,0,7001,149481
django__django-10999,27,29,12828,11773,12828,1055,0,5930,194652
django__django-11066,28,33,19493,18479,19493,1014,0,2373,298917
django__django-11087,29,3,5684,5577,5684,107,0,8639,11380
django__django-11095,30,15,6557,6048,6557,509,0,1970,59869
django__django-11099,31,14,4240,3827,4240,413,0,2132,23376
django__django-11119,32,47,25859,24306,25859,1553,0,11462,631491
django__django-11133,33,9,4988,4725,4988,263,0,950,29052
django__django-11138,34,64,25701,23983,25701,1718,0,27766,1095013
django__django-11141,35,60,18368,16524,18368,1844,0,8441,502272
django__django-11149,36,64,41955,40040,41955,1915,0,24240,1246307
django__django-11163,37,8,4533,4317,4533,216,0,1136,21557
django__django-11179,38,50,36686,35133,36686,1553,0,8702,857102
django__django-11206,39,4,3658,3599,3658,59,0,8462,7114
django__django-11211,40,55,40064,38282,40064,1782,0,26624,1136064
django__django-11239,41,29,17388,16628,17388,760,0,4807,211500
django__django-11265,42,64,51079,49160,51079,1919,0,29303,1709703
django__django-11276,43,64,25338,23308,25338,2030,0,14512,951162
django__django-11292,44,25,9524,8778,9524,746,0,3501,137908
django__django-11299,45,28,16592,15724,16592,868,0,9574,276816
django__django-11333,46,15,6825,6467,6825,358,0,21847,60137
django__django-11400,47,39,15198,13858,15198,1340,0,6643,299678
django__django-11433,48,33,13670,12719,13670,951,0,14675,241062
django__django-11451,49,55,30635,28881,30635,1754,0,12084,858475
django__django-11477,50,64,38005,35886,38005,2119,0,9353,1416053
django__django-11490,51,64,38933,36983,38933,1950,0,26436,1093525
django__django-11532,52,64,23877,22154,23877,1723,0,8132,872709
django__django-11551,53,64,39933,37900,39933,2033,0,22411,1268861
django__django-11555,54,64,29694,27655,29694,2039,0,8843,746750
django__django-11603,55,32,20313,19286,20313,1027,0,3327,328537
django__django-11728,56,8,3495,3215,3495,280,0,20302,16679
django__django-11734,57,60,42287,40444,42287,1843,0,19340,1285103
django__django-11740,58,50,45683,44251,45683,1432,0,16164,1214323
django__django-11749,59,27,12515,11691,12515,824,0,6308,198179
django__django-11790,60,63,30952,28938,30952,2014,0,20682,946920
django__django-11815,61,64,33458,31706,33458,1752,0,11519,1289266
django__django-11820,62,21,8605,8051,8605,554,0,12701,95197
django__django-11848,63,38,22213,21019,22213,1194,0,21279,487749
django__django-11880,64,34,16679,15657,16679,1022,0,8015,304103
django__django-11885,65,64,28037,26007,28037,2030,0,16954,938053
django__django-11951,66,31,11484,10395,11484,1089,0,6003,146844
django__django-11964,67,64,31061,29173,31061,1888,0,15339,1132629
django__django-11999,68,64,25087,23223,25087,1864,0,8365,775551
django__django-12039,69,64,37709,35679,37709,2030,0,16686,1238541
django__django-12050,70,64,19458,17472,19458,1986,0,9290,505730
django__django-12125,71,11,11372,11073,11372,299,0,9574,63020
django__django-12143,72,50,17431,15835,17431,1596,0,4323,426263
django__django-12155,73,4,3182,3041,3182,141,0,6142,6510
django__django-12193,74,52,35278,33744,35278,1534,0,21200,873422
django__django-12209,75,64,36978,34849,36978,2129,0,14607,1190002
django__django-12262,76,64,40026,38291,40026,1735,0,21763,1325082
django__django-12273,77,38,25950,24813,25950,1137,0,13463,548766
django__django-12276,78,64,22090,20181,22090,1909,0,15156,720010
django__django-12304,79,60,35800,33803,35800,1997,0,15936,1090072
django__django-12308,80,64,35740,33547,35740,2193,0,8841,1212572
django__django-12325,81,23,6457,5696,6457,761,0,2265,75257
django__django-12406,82,64,47104,45036,47104,2068,0,12896,1453568
django__django-12419,83,34,16234,15092,16234,1142,0,2846,214890
django__django-12663,84,64,31666,29667,31666,1999,0,22071,1092530
django__django-12708,85,16,6104,5728,6104,376,0,7475,55768
django__django-12713,86,64,32310,30252,32310,2058,0,21919,875254
django__django-12741,87,39,11966,10831,11966,1135,0,4567,187454
django__django-12754,88,64,39333,37125,39333,2208,0,21457,1180325
django__django-12774,89,64,33619,31753,33619,1866,0,14428,969619
django__django-12858,90,61,24245,22527,24245,1718,0,19463,673141
django__django-12965,91,64,26241,24013,26241,2228,0,8159,891905
django__django-13012,92,43,15101,13887,15101,1214,0,9118,356861
django__django-13023,93,32,13400,12548,13400,852,0,5025,186520
django__django-13028,94,27,12284,11428,12284,856,0,4437,145468
django__django-13033,95,49,32106,30469,32106,1637,0,30057,769194
django__django-13089,96,47,21629,20113,21629,1516,0,7383,426301
django__django-13109,97,64,37431,35344,37431,2087,0,9972,1166839
django__django-13112,98,64,36480,34598,36480,1882,0,25019,1302336
django__django-13121,99,37,17402,16140,17402,1262,0,15558,248506
django__django-13128,100,64,23234,21286,23234,1948,0,25903,719746
django__django-13158,101,64,36233,34526,36233,1707,0,24629,1266313
django__django-13195,102,43,16717,15377,16717,1340,0,9081,384333
django__django-13212,103,64,30415,28432,30415,1983,0,12527,992143
django__django-13279,104,7,7261,7049,7261,212,0,8861,18269
django__django-13297,105,16,10420,9865,10420,555,0,13260,89332
django__django-13315,106,40,21061,19757,21061,1304,0,11911,403717
django__django-13343,107,55,33318,31434,33318,1884,0,15577,884774
django__django-13344,108,9,9312,9044,9312,268,0,9574,32800
django__django-13346,109,64,33964,32011,33964,1953,0,15770,1053612
django__django-13363,110,48,18710,17384,18710,1326,0,3875,516054
django__django-13401,111,64,24957,22761,24957,2196,0,7830,817469
django__django-13406,112,13,9926,9513,9926,413,0,10289,85254
django__django-13410,113,25,10232,9398,10232,834,0,5875,135416
django__django-13417,114,53,23988,22437,23988,1551,0,11633,710196
django__django-13449,115,64,36132,34206,36132,1926,0,15124,1404132
django__django-13512,116,52,25572,23613,25572,1959,0,6814,642020
django__django-13513,117,39,14360,13206,14360,1154,0,5802,290008
django__django-13516,118,64,35629,33724,35629,1905,0,15459,994541
django__django-13551,119,22,16882,16275,16882,607,0,2004,183602
django__django-13568,120,64,25806,23853,25806,1953,0,9429,841486
django__django-13569,121,61,32121,30062,32121,2059,0,27683,1026681
django__django-13590,122,61,19498,17799,19498,1699,0,15757,468394
django__django-13658,123,45,26998,25531,26998,1467,0,5594,666358
django__django-13670,124,26,14558,13764,14558,794,0,5297,222366
django__django-13741,125,40,28561,27381,28561,1180,0,3952,692625
